t0_date,p0_date,event,duration_days,potential_followup_days,p1_date
2018-02-09,2018-01-19,0,250.672674,250.672674,
2018-04-12,2018-04-05,0,187.77191,187.77191,
2017-06-23,2017-06-15,0,481.206887,481.206887,
2017-07-10,2017-07-01,0,463.998634,463.998634,
2017-12-19,2017-12-09,0,301.782303,301.782303,
2018-02-05,2018-01-16,0,254.192292,254.192292,
2018-02-28,2018-02-06,0,231.024514,231.024514,
2018-02-07,2018-01-31,0,251.828877,251.828877,
2018-03-08,2018-02-21,0,223.059375,223.059375,
2017-08-07,2017-07-26,0,435.851771,435.851771,
2017-12-11,2017-12-01,0,309.835625,309.835625,
2017-05-16,2017-05-11,0,519.325116,519.325116,
2017-08-31,2017-08-22,0,411.891319,411.891319,
2017-12-13,2017-11-25,0,307.828877,307.828877,
2017-12-29,2017-12-13,0,292.087905,292.087905,
2018-02-01,2018-01-14,0,257.821134,257.821134,
2018-04-16,2018-04-07,0,184.169225,184.169225,
2017-09-13,2017-09-03,0,398.904456,398.904456,
2017-11-27,2017-11-17,0,324.149988,324.149988,
2018-01-09,2017-12-30,0,281.104977,281.104977,
2017-10-05,2017-09-26,0,376.81434,376.81434,
2018-04-06,2018-03-14,0,194.72647,194.72647,
2018-01-05,2017-11-28,0,285.014074,285.014074,
2018-02-07,2018-02-03,0,251.789294,251.789294,
2017-04-20,2017-04-17,0,545.243183,545.243183,
2018-01-30,2018-01-17,0,259.971181,259.971181,
2018-03-24,2018-03-20,0,207.664618,207.664618,
2018-03-07,2018-02-20,0,223.774398,223.774398,
2017-12-11,2017-11-29,0,310.050926,310.050926,
2017-12-13,2017-11-26,0,308.078785,308.078785,
2017-12-19,2017-12-10,0,301.918935,301.918935,
2018-03-27,2018-03-09,0,204.665289,204.665289,
2017-03-13,2017-03-04,0,583.139444,583.139444,
2017-06-19,2017-06-10,0,484.955995,484.955995,
2018-01-11,2018-01-09,0,279.094525,279.094525,
2018-03-20,2018-03-08,0,210.886308,210.886308,
2018-02-06,2018-01-15,0,253.064861,253.064861,
2018-01-03,2017-12-20,0,286.750891,286.750891,
2018-04-19,2018-04-12,0,180.966516,180.966516,
2018-01-10,2018-01-06,0,279.872824,279.872824,
2017-11-08,2017-10-25,0,343.172847,343.172847,
2017-09-06,2017-08-25,0,405.892662,405.892662,
2017-08-21,2017-08-03,0,422.002407,422.002407,
2017-06-14,2017-05-26,0,490.175255,490.175255,
2018-04-12,2018-04-08,0,187.935023,187.935023,
2017-05-05,2017-04-13,0,530.210775,530.210775,
2017-09-04,2017-08-28,0,407.922535,407.922535,
2017-06-09,2017-05-27,0,494.990648,494.990648,
2018-02-01,2018-01-30,0,258.155394,258.155394,
2017-11-22,2017-11-19,0,329.018414,329.018414,
2017-09-15,2017-08-29,0,397.115752,397.115752,
2018-04-09,2018-03-20,0,190.931597,190.931597,
2018-02-02,2018-01-04,0,256.87787,256.87787,
2017-10-23,2017-10-18,0,359.056516,359.056516,
2018-04-18,2018-04-14,0,181.765185,181.765185,
2017-09-01,2017-08-11,0,410.833727,410.833727,
2018-01-05,2017-11-24,0,285.700405,285.700405,
2017-10-31,2017-10-15,0,350.878785,350.878785,
2018-04-19,2018-03-27,0,181.023345,181.023345,
2018-03-26,2018-03-19,0,204.959583,204.959583,
2018-04-09,2018-03-02,0,190.873102,190.873102,
2017-05-25,2017-05-09,0,510.282303,510.282303,
2018-03-08,2018-02-17,1,41.166273,222.980278,2018-04-18
2018-01-26,2018-01-21,0,264.055891,264.055891,
2017-09-27,2017-09-17,0,384.984491,384.984491,
2017-07-26,2017-07-18,0,448.5989,448.5989,
2017-12-07,2017-12-03,0,314.0636,314.0636,
2017-11-17,2017-11-13,0,334.136215,334.136215,
2018-02-27,2018-02-19,0,232.680741,232.680741,
2018-01-13,2018-01-01,0,277.699144,277.699144,
2018-02-23,2018-02-14,0,235.830764,235.830764,
2017-03-24,2017-03-18,0,572.404433,572.404433,
2018-04-20,2018-04-03,0,180.164653,180.164653,
2017-10-23,2017-10-15,0,358.969792,358.969792,
2017-09-04,2017-08-22,1,163.615926,407.85853,2018-02-15
2018-01-22,2018-01-11,0,267.820671,267.820671,
2017-03-14,2017-03-07,0,582.205185,582.205185,
2018-01-02,2017-12-09,0,287.818194,287.818194,
2017-05-15,2017-05-06,0,520.026609,520.026609,
2017-10-18,2017-10-05,0,364.705231,364.705231,
2017-12-08,2017-11-26,0,312.866771,312.866771,
2017-10-20,2017-10-17,0,361.807477,361.807477,
2017-09-20,2017-09-07,0,391.995845,391.995845,
2017-07-05,2017-06-18,1,313.053391,469.273912,2018-05-14
